TOP.5aca1883.00071e58	START
TOP.5aca19d1.000a173e	user_options->optimized_kernel_enable	0
TOP.5aca19d1.000a173e	user_options->outfile_autohex	1
TOP.5aca19d1.000a173e	user_options->outfile_check_timer	5
TOP.5aca19d1.000a173e	user_options->outfile_format	3
TOP.5aca19d1.000a173e	user_options->wordlist_autohex_disable	0
TOP.5aca19d1.000a173e	user_options->potfile_disable	1
TOP.5aca19d1.000a173e	user_options->progress_only	0
TOP.5aca19d1.000a173e	user_options->quiet	0
TOP.5aca19d1.000a173e	user_options->remove	0
TOP.5aca19d1.000a173e	user_options->remove_timer	60
TOP.5aca19d1.000a173e	user_options->restore	0
TOP.5aca19d1.000a173e	user_options->restore_disable	0
TOP.5aca19d1.000a173e	user_options->restore_timer	60
TOP.5aca19d1.000a173e	user_options->rp_files_cnt	0
TOP.5aca19d1.000a173e	user_options->rp_gen	0
TOP.5aca19d1.000a173e	user_options->rp_gen_func_max	4
TOP.5aca19d1.000a173e	user_options->rp_gen_func_min	1
TOP.5aca19d1.000a173e	user_options->rp_gen_seed	0
TOP.5aca19d1.000a173e	user_options->runtime	0
TOP.5aca19d1.000a173e	user_options->scrypt_tmto	0
TOP.5aca19d1.000a173e	user_options->segment_size	33554432
TOP.5aca19d1.000a173e	user_options->self_test_disable	0
TOP.5aca19d1.000a173e	user_options->show	0
TOP.5aca19d1.000a173e	user_options->speed_only	0
TOP.5aca19d1.000a173e	user_options->status	0
TOP.5aca19d1.000a173e	user_options->status_timer	10
TOP.5aca19d1.000a173e	user_options->stdout_flag	0
TOP.5aca19d1.000a173e	user_options->usage	0
TOP.5aca19d1.000a173e	user_options->username	0
TOP.5aca19d1.000a173e	user_options->veracrypt_pim	0
TOP.5aca19d1.000a173e	user_options->version	0
TOP.5aca19d1.000a173e	user_options->workload_profile	2
TOP.5aca19d1.000a173e	hashes->hashfile	..\hash\1.hash
TOP.5aca19d1.000a173e	hashes->hashlist_mode	4
TOP.5aca19d1.000a173e	hashes->hashlist_format	0
TOP.5aca19d1.000a173e	hashes->hashes_cnt	0
TOP.5aca19d1.000a173e	hashes->digests_cnt	1
TOP.5aca19d1.000a173e	hashes->digests_done	0
TOP.5aca19d1.000a173e	hashes->salts_cnt	1
TOP.5aca19d1.000a173e	hashes->salts_done	0
TOP.5aca19d1.000a173e	SUB.5aca19d4.00020cc3	START
TOP.5aca19d1.000a173e	SUB.5aca19d4.00020cc3	mask_ctx->mask	?d?d?d?d?d
TOP.5aca19d1.000a173e	SUB.5aca19d4.00020cc3	runtime_start	1523194324
TOP.5aca19d1.000a173e	SUB.5aca19d4.00020cc3	runtime_stop	1523194324
TOP.5aca19d1.000a173e	SUB.5aca19d4.00020cc3	status-after-work	6
TOP.5aca19d1.000a173e	SUB.5aca19d4.00020cc3	STOP
TOP.5aca19d1.000a173e	proc_start	1523194321
TOP.5aca19d1.000a173e	proc_stop	1523194325
TOP.5aca19d1.000a173e	STOP
TOP.5aca1a68.00066258	START
TOP.5aca1a68.00066258	user_options->separator	:
TOP.5aca1a68.00066258	user_options->encoding_from	utf-8
TOP.5aca1a68.00066258	user_options->encoding_to	utf-8
TOP.5aca1a68.00066258	user_options->outfile	..\out\1.out
TOP.5aca1a68.00066258	user_options->rule_buf_l	:
TOP.5aca1a68.00066258	user_options->rule_buf_r	:
TOP.5aca1a68.00066258	user_options->session	hashcat
TOP.5aca1a68.00066258	user_options->limit	0
TOP.5aca1a68.00066258	user_options->skip	0
TOP.5aca1a68.00066258	user_options->attack_mode	3
TOP.5aca1a68.00066258	user_options->benchmark	0
TOP.5aca1a68.00066258	user_options->benchmark_all	0
TOP.5aca1a68.00066258	user_options->bitmap_max	24
TOP.5aca1a68.00066258	user_options->bitmap_min	16
TOP.5aca1a68.00066258	user_options->debug_mode	0
TOP.5aca1a68.00066258	user_options->example_hashes	0
TOP.5aca1a68.00066258	user_options->force	0
TOP.5aca1a68.00066258	user_options->gpu_temp_abort	90
TOP.5aca1a68.00066258	user_options->gpu_temp_disable	0
TOP.5aca1a68.00066258	user_options->hash_mode	0
TOP.5aca1a68.00066258	user_options->hex_charset	0
TOP.5aca1a68.00066258	user_options->hex_salt	0
TOP.5aca1a68.00066258	user_options->hex_wordlist	0
TOP.5aca1a68.00066258	user_options->increment	0
TOP.5aca1a68.00066258	user_options->increment_max	256
TOP.5aca1a68.00066258	user_options->increment_min	1
TOP.5aca1a68.00066258	user_options->keep_guessing	0
TOP.5aca1a68.00066258	user_options->kernel_accel	0
TOP.5aca1a68.00066258	user_options->kernel_loops	0
TOP.5aca1a68.00066258	user_options->keyspace	0
TOP.5aca1a68.00066258	user_options->left	0
TOP.5aca1a68.00066258	user_options->logfile_disable	0
TOP.5aca1a68.00066258	user_options->loopback	0
TOP.5aca1a68.00066258	user_options->machine_readable	0
TOP.5aca1a68.00066258	user_options->markov_classic	0
TOP.5aca1a68.00066258	user_options->markov_disable	0
TOP.5aca1a68.00066258	user_options->markov_threshold	256
TOP.5aca1a68.00066258	user_options->nvidia_spin_damp	100
TOP.5aca1a68.00066258	user_options->opencl_info	0
TOP.5aca1a68.00066258	user_options->opencl_vector_width	0
TOP.5aca1a68.00066258	user_options->optimized_kernel_enable	0
TOP.5aca1a68.00066258	user_options->outfile_autohex	1
TOP.5aca1a68.00066258	user_options->outfile_check_timer	5
TOP.5aca1a68.00066258	user_options->outfile_format	3
TOP.5aca1a68.00066258	user_options->wordlist_autohex_disable	0
TOP.5aca1a68.00066258	user_options->potfile_disable	1
TOP.5aca1a68.00066258	user_options->progress_only	0
TOP.5aca1a68.00066258	user_options->quiet	0
TOP.5aca1a68.00066258	user_options->remove	0
TOP.5aca1a68.00066258	user_options->remove_timer	60
TOP.5aca1a68.00066258	user_options->restore	0
TOP.5aca1a68.00066258	user_options->restore_disable	0
TOP.5aca1a68.00066258	user_options->restore_timer	60
TOP.5aca1a68.00066258	user_options->rp_files_cnt	0
TOP.5aca1a68.00066258	user_options->rp_gen	0
TOP.5aca1a68.00066258	user_options->rp_gen_func_max	4
TOP.5aca1a68.00066258	user_options->rp_gen_func_min	1
TOP.5aca1a68.00066258	user_options->rp_gen_seed	0
TOP.5aca1a68.00066258	user_options->runtime	0
TOP.5aca1a68.00066258	user_options->scrypt_tmto	0
TOP.5aca1a68.00066258	user_options->segment_size	33554432
TOP.5aca1a68.00066258	user_options->self_test_disable	0
TOP.5aca1a68.00066258	user_options->show	0
TOP.5aca1a68.00066258	user_options->speed_only	0
TOP.5aca1a68.00066258	user_options->status	0
TOP.5aca1a68.00066258	user_options->status_timer	10
TOP.5aca1a68.00066258	user_options->stdout_flag	0
TOP.5aca1a68.00066258	user_options->usage	0
TOP.5aca1a68.00066258	user_options->username	0
TOP.5aca1a68.00066258	user_options->veracrypt_pim	0
TOP.5aca1a68.00066258	user_options->version	0
TOP.5aca1a68.00066258	user_options->workload_profile	2
TOP.5aca1a68.00066258	hashes->hashfile	..\hash\1.hash
TOP.5aca1a68.00066258	hashes->hashlist_mode	4
TOP.5aca1a68.00066258	hashes->hashlist_format	0
TOP.5aca1a68.00066258	hashes->hashes_cnt	0
TOP.5aca1a68.00066258	hashes->digests_cnt	1
TOP.5aca1a68.00066258	hashes->digests_done	0
TOP.5aca1a68.00066258	hashes->salts_cnt	1
TOP.5aca1a68.00066258	hashes->salts_done	0
TOP.5aca1a68.00066258	SUB.5aca1a6a.000ea533	START
TOP.5aca1a68.00066258	SUB.5aca1a6a.000ea533	mask_ctx->mask	?d?d?d?d?d
TOP.5aca1a68.00066258	SUB.5aca1a6a.000ea533	runtime_start	1523194475
TOP.5aca1a68.00066258	SUB.5aca1a6a.000ea533	runtime_stop	1523194475
TOP.5aca1a68.00066258	SUB.5aca1a6a.000ea533	status-after-work	6
TOP.5aca1a68.00066258	SUB.5aca1a6a.000ea533	STOP
TOP.5aca1a68.00066258	proc_start	1523194472
TOP.5aca1a68.00066258	proc_stop	1523194476
TOP.5aca1a68.00066258	STOP
TOP.5aca1a7c.0001f779	START
TOP.5aca1a7c.0001f779	user_options->separator	:
TOP.5aca1a7c.0001f779	user_options->encoding_from	utf-8
TOP.5aca1a7c.0001f779	user_options->encoding_to	utf-8
TOP.5aca1a7c.0001f779	user_options->outfile	..\out\1.out
TOP.5aca1a7c.0001f779	user_options->rule_buf_l	:
TOP.5aca1a7c.0001f779	user_options->rule_buf_r	:
TOP.5aca1a7c.0001f779	user_options->session	hashcat
TOP.5aca1a7c.0001f779	user_options->limit	0
TOP.5aca1a7c.0001f779	user_options->skip	0
TOP.5aca1a7c.0001f779	user_options->attack_mode	3
TOP.5aca1a7c.0001f779	user_options->benchmark	0
TOP.5aca1a7c.0001f779	user_options->benchmark_all	0
TOP.5aca1a7c.0001f779	user_options->bitmap_max	24
TOP.5aca1a7c.0001f779	user_options->bitmap_min	16
TOP.5aca1a7c.0001f779	user_options->debug_mode	0
TOP.5aca1a7c.0001f779	user_options->example_hashes	0
TOP.5aca1a7c.0001f779	user_options->force	0
TOP.5aca1a7c.0001f779	user_options->gpu_temp_abort	90
TOP.5aca1a7c.0001f779	user_options->gpu_temp_disable	0
TOP.5aca1a7c.0001f779	user_options->hash_mode	0
TOP.5aca1a7c.0001f779	user_options->hex_charset	0
TOP.5aca1a7c.0001f779	user_options->hex_salt	0
TOP.5aca1a7c.0001f779	user_options->hex_wordlist	0
TOP.5aca1a7c.0001f779	user_options->increment	0
TOP.5aca1a7c.0001f779	user_options->increment_max	256
TOP.5aca1a7c.0001f779	user_options->increment_min	1
TOP.5aca1a7c.0001f779	user_options->keep_guessing	0
TOP.5aca1a7c.0001f779	user_options->kernel_accel	0
TOP.5aca1a7c.0001f779	user_options->kernel_loops	0
TOP.5aca1a7c.0001f779	user_options->keyspace	0
TOP.5aca1a7c.0001f779	user_options->left	0
TOP.5aca1a7c.0001f779	user_options->logfile_disable	0
TOP.5aca1a7c.0001f779	user_options->loopback	0
TOP.5aca1a7c.0001f779	user_options->machine_readable	0
TOP.5aca1a7c.0001f779	user_options->markov_classic	0
TOP.5aca1a7c.0001f779	user_options->markov_disable	0
TOP.5aca1a7c.0001f779	user_options->markov_threshold	256
TOP.5aca1a7c.0001f779	user_options->nvidia_spin_damp	100
TOP.5aca1a7c.0001f779	user_options->opencl_info	0
TOP.5aca1a7c.0001f779	user_options->opencl_vector_width	0
TOP.5aca1a7c.0001f779	user_options->optimized_kernel_enable	0
TOP.5aca1a7c.0001f779	user_options->outfile_autohex	1
TOP.5aca1a7c.0001f779	user_options->outfile_check_timer	5
TOP.5aca1a7c.0001f779	user_options->outfile_format	3
TOP.5aca1a7c.0001f779	user_options->wordlist_autohex_disable	0
TOP.5aca1a7c.0001f779	user_options->potfile_disable	1
TOP.5aca1a7c.0001f779	user_options->progress_only	0
TOP.5aca1a7c.0001f779	user_options->quiet	0
TOP.5aca1a7c.0001f779	user_options->remove	0
TOP.5aca1a7c.0001f779	user_options->remove_timer	60
TOP.5aca1a7c.0001f779	user_options->restore	0
TOP.5aca1a7c.0001f779	user_options->restore_disable	0
TOP.5aca1a7c.0001f779	user_options->restore_timer	60
TOP.5aca1a7c.0001f779	user_options->rp_files_cnt	0
TOP.5aca1a7c.0001f779	user_options->rp_gen	0
TOP.5aca1a7c.0001f779	user_options->rp_gen_func_max	4
TOP.5aca1a7c.0001f779	user_options->rp_gen_func_min	1
TOP.5aca1a7c.0001f779	user_options->rp_gen_seed	0
TOP.5aca1a7c.0001f779	user_options->runtime	0
TOP.5aca1a7c.0001f779	user_options->scrypt_tmto	0
TOP.5aca1a7c.0001f779	user_options->segment_size	33554432
TOP.5aca1a7c.0001f779	user_options->self_test_disable	0
TOP.5aca1a7c.0001f779	user_options->show	0
TOP.5aca1a7c.0001f779	user_options->speed_only	0
TOP.5aca1a7c.0001f779	user_options->status	0
TOP.5aca1a7c.0001f779	user_options->status_timer	10
TOP.5aca1a7c.0001f779	user_options->stdout_flag	0
TOP.5aca1a7c.0001f779	user_options->usage	0
TOP.5aca1a7c.0001f779	user_options->username	0
TOP.5aca1a7c.0001f779	user_options->veracrypt_pim	0
TOP.5aca1a7c.0001f779	user_options->version	0
TOP.5aca1a7c.0001f779	user_options->workload_profile	2
TOP.5aca1a7c.0001f779	hashes->hashfile	..\hash\1.hash
TOP.5aca1a7c.0001f779	hashes->hashlist_mode	4
TOP.5aca1a7c.0001f779	hashes->hashlist_format	0
TOP.5aca1a7c.0001f779	hashes->hashes_cnt	0
TOP.5aca1a7c.0001f779	hashes->digests_cnt	1
TOP.5aca1a7c.0001f779	hashes->digests_done	0
TOP.5aca1a7c.0001f779	hashes->salts_cnt	1
TOP.5aca1a7c.0001f779	hashes->salts_done	0
TOP.5aca1a7c.0001f779	SUB.5aca1a7e.000a6a39	START
TOP.5aca1a7c.0001f779	SUB.5aca1a7e.000a6a39	mask_ctx->mask	?d?d?d?d?d
TOP.5aca1a7c.0001f779	SUB.5aca1a7e.000a6a39	runtime_start	1523194495
TOP.5aca1a7c.0001f779	SUB.5aca1a7e.000a6a39	runtime_stop	1523194495
TOP.5aca1a7c.0001f779	SUB.5aca1a7e.000a6a39	status-after-work	6
TOP.5aca1a7c.0001f779	SUB.5aca1a7e.000a6a39	STOP
TOP.5aca1a7c.0001f779	proc_start	1523194492
TOP.5aca1a7c.0001f779	proc_stop	1523194496
TOP.5aca1a7c.0001f779	STOP
TOP.5aca1ab7.0003c3e6	START
TOP.5aca1ab7.0003c3e6	user_options->separator	:
TOP.5aca1ab7.0003c3e6	user_options->encoding_from	utf-8
TOP.5aca1ab7.0003c3e6	user_options->encoding_to	utf-8
TOP.5aca1ab7.0003c3e6	user_options->outfile	..\out\1.out
TOP.5aca1ab7.0003c3e6	user_options->rule_buf_l	:
TOP.5aca1ab7.0003c3e6	user_options->rule_buf_r	:
TOP.5aca1ab7.0003c3e6	user_options->session	hashcat
TOP.5aca1ab7.0003c3e6	user_options->limit	0
TOP.5aca1ab7.0003c3e6	user_options->skip	0
TOP.5aca1ab7.0003c3e6	user_options->attack_mode	3
TOP.5aca1ab7.0003c3e6	user_options->benchmark	0
TOP.5aca1ab7.0003c3e6	user_options->benchmark_all	0
TOP.5aca1ab7.0003c3e6	user_options->bitmap_max	24
TOP.5aca1ab7.0003c3e6	user_options->bitmap_min	16
TOP.5aca1ab7.0003c3e6	user_options->debug_mode	0
TOP.5aca1ab7.0003c3e6	user_options->example_hashes	0
TOP.5aca1ab7.0003c3e6	user_options->force	0
TOP.5aca1ab7.0003c3e6	user_options->gpu_temp_abort	90
TOP.5aca1ab7.0003c3e6	user_options->gpu_temp_disable	0
TOP.5aca1ab7.0003c3e6	user_options->hash_mode	0
TOP.5aca1ab7.0003c3e6	user_options->hex_charset	0
TOP.5aca1ab7.0003c3e6	user_options->hex_salt	0
TOP.5aca1ab7.0003c3e6	user_options->hex_wordlist	0
TOP.5aca1ab7.0003c3e6	user_options->increment	0
TOP.5aca1ab7.0003c3e6	user_options->increment_max	256
TOP.5aca1ab7.0003c3e6	user_options->increment_min	1
TOP.5aca1ab7.0003c3e6	user_options->keep_guessing	0
TOP.5aca1ab7.0003c3e6	user_options->kernel_accel	0
TOP.5aca1ab7.0003c3e6	user_options->kernel_loops	0
TOP.5aca1ab7.0003c3e6	user_options->keyspace	0
TOP.5aca1ab7.0003c3e6	user_options->left	0
TOP.5aca1ab7.0003c3e6	user_options->logfile_disable	0
TOP.5aca1ab7.0003c3e6	user_options->loopback	0
TOP.5aca1ab7.0003c3e6	user_options->machine_readable	0
TOP.5aca1ab7.0003c3e6	user_options->markov_classic	0
TOP.5aca1ab7.0003c3e6	user_options->markov_disable	0
TOP.5aca1ab7.0003c3e6	user_options->markov_threshold	256
TOP.5aca1ab7.0003c3e6	user_options->nvidia_spin_damp	100
TOP.5aca1ab7.0003c3e6	user_options->opencl_info	0
TOP.5aca1ab7.0003c3e6	user_options->opencl_vector_width	0
TOP.5aca1ab7.0003c3e6	user_options->optimized_kernel_enable	0
TOP.5aca1ab7.0003c3e6	user_options->outfile_autohex	1
TOP.5aca1ab7.0003c3e6	user_options->outfile_check_timer	5
TOP.5aca1ab7.0003c3e6	user_options->outfile_format	3
TOP.5aca1ab7.0003c3e6	user_options->wordlist_autohex_disable	0
TOP.5aca1ab7.0003c3e6	user_options->potfile_disable	1
TOP.5aca1ab7.0003c3e6	user_options->progress_only	0
TOP.5aca1ab7.0003c3e6	user_options->quiet	0
TOP.5aca1ab7.0003c3e6	user_options->remove	0
TOP.5aca1ab7.0003c3e6	user_options->remove_timer	60
TOP.5aca1ab7.0003c3e6	user_options->restore	0
TOP.5aca1ab7.0003c3e6	user_options->restore_disable	0
TOP.5aca1ab7.0003c3e6	user_options->restore_timer	60
TOP.5aca1ab7.0003c3e6	user_options->rp_files_cnt	0
TOP.5aca1ab7.0003c3e6	user_options->rp_gen	0
TOP.5aca1ab7.0003c3e6	user_options->rp_gen_func_max	4
TOP.5aca1ab7.0003c3e6	user_options->rp_gen_func_min	1
TOP.5aca1ab7.0003c3e6	user_options->rp_gen_seed	0
TOP.5aca1ab7.0003c3e6	user_options->runtime	0
TOP.5aca1ab7.0003c3e6	user_options->scrypt_tmto	0
TOP.5aca1ab7.0003c3e6	user_options->segment_size	33554432
TOP.5aca1ab7.0003c3e6	user_options->self_test_disable	0
TOP.5aca1ab7.0003c3e6	user_options->show	0
TOP.5aca1ab7.0003c3e6	user_options->speed_only	0
TOP.5aca1ab7.0003c3e6	user_options->status	0
TOP.5aca1ab7.0003c3e6	user_options->status_timer	10
TOP.5aca1ab7.0003c3e6	user_options->stdout_flag	0
TOP.5aca1ab7.0003c3e6	user_options->usage	0
TOP.5aca1ab7.0003c3e6	user_options->username	0
TOP.5aca1ab7.0003c3e6	user_options->veracrypt_pim	0
TOP.5aca1ab7.0003c3e6	user_options->version	0
TOP.5aca1ab7.0003c3e6	user_options->workload_profile	2
TOP.5aca1ab7.0003c3e6	hashes->hashfile	..\hash\1.hash
TOP.5aca1ab7.0003c3e6	hashes->hashlist_mode	4
TOP.5aca1ab7.0003c3e6	hashes->hashlist_format	0
TOP.5aca1ab7.0003c3e6	hashes->hashes_cnt	0
TOP.5aca1ab7.0003c3e6	hashes->digests_cnt	1
TOP.5aca1ab7.0003c3e6	hashes->digests_done	0
TOP.5aca1ab7.0003c3e6	hashes->salts_cnt	1
TOP.5aca1ab7.0003c3e6	hashes->salts_done	0
TOP.5aca1ab7.0003c3e6	SUB.5aca1ab9.000a658c	START
TOP.5aca1ab7.0003c3e6	SUB.5aca1ab9.000a658c	mask_ctx->mask	?d?d?d?d?d
TOP.5aca1ab7.0003c3e6	SUB.5aca1ab9.000a658c	runtime_start	1523194554
TOP.5aca1ab7.0003c3e6	SUB.5aca1ab9.000a658c	runtime_stop	1523194554
TOP.5aca1ab7.0003c3e6	SUB.5aca1ab9.000a658c	status-after-work	6
TOP.5aca1ab7.0003c3e6	SUB.5aca1ab9.000a658c	STOP
TOP.5aca1ab7.0003c3e6	proc_start	1523194551
TOP.5aca1ab7.0003c3e6	proc_stop	1523194555
TOP.5aca1ab7.0003c3e6	STOP
TOP.5aca1b42.0008146b	START
TOP.5aca1b42.0008146b	user_options->separator	:
TOP.5aca1b42.0008146b	user_options->encoding_from	utf-8
TOP.5aca1b42.0008146b	user_options->encoding_to	utf-8
TOP.5aca1b42.0008146b	user_options->outfile	..\out\1.out
TOP.5aca1b42.0008146b	user_options->rule_buf_l	:
TOP.5aca1b42.0008146b	user_options->rule_buf_r	:
TOP.5aca1b42.0008146b	user_options->session	hashcat
TOP.5aca1b42.0008146b	user_options->limit	0
TOP.5aca1b42.0008146b	user_options->skip	0
TOP.5aca1b42.0008146b	user_options->attack_mode	3
TOP.5aca1b42.0008146b	user_options->benchmark	0
TOP.5aca1b42.0008146b	user_options->benchmark_all	0
TOP.5aca1b42.0008146b	user_options->bitmap_max	24
TOP.5aca1b42.0008146b	user_options->bitmap_min	16
TOP.5aca1b42.0008146b	user_options->debug_mode	0
TOP.5aca1b42.0008146b	user_options->example_hashes	0
TOP.5aca1b42.0008146b	user_options->force	0
TOP.5aca1b42.0008146b	user_options->gpu_temp_abort	90
TOP.5aca1b42.0008146b	user_options->gpu_temp_disable	0
TOP.5aca1b42.0008146b	user_options->hash_mode	0
TOP.5aca1b42.0008146b	user_options->hex_charset	0
TOP.5aca1b42.0008146b	user_options->hex_salt	0
TOP.5aca1b42.0008146b	user_options->hex_wordlist	0
TOP.5aca1b42.0008146b	user_options->increment	0
